2,1,1
5,1,2
4,1,2
9,1,1
10,1,4
1,2,1
4,2,2
9,2,5
9,3,2
7,3,2
8,3,5
1,4,2
7,4,3
5,4,2
4,4,3
2,5,4
6,5,3
10,5,3
8,6,5
2,6,4
9,6,3
10,7,3
4,7,1
1,7,2
5,7,1
2,7,4
8,8,3
3,8,3
6,8,2
5,8,1
3,9,5
4,9,2
8,9,4
5,9,5
6,9,1
1,10,3
7,10,3
2,10,2
6,11,2
8,11,4
3,11,3
4,11,5
9,11,3
10,12,4
7,12,3
4,12,2
9,12,4
2,12,1
3,13,2
7,13,5
2,13,4
10,14,4
9,14,3
1,14,1
5,14,3
5,15,4
3,15,4
1,15,3
3,16,5
2,16,3
9,16,5
4,16,2
6,16,2
9,17,1
10,17,3
8,17,1
2,17,3
5,17,2
4,18,5
2,18,1
8,18,1
3,19,2
8,19,5
5,19,5
10,19,4
4,19,5
4,20,3
7,20,3
8,20,5
2,20,2
6,20,1
9,21,2
10,21,2
1,21,1
4,21,1
6,21,1
4,22,3
8,22,2
9,22,2
10,22,5
7,22,2
2,23,4
6,23,4
7,23,4
1,24,1
7,24,3
2,24,2
4,24,2
9,24,4
7,25,2
5,25,4
4,25,1
9,26,1
1,26,5
2,26,2
3,26,4
8,27,2
7,27,1
3,27,4
1,27,4
8,28,3
7,28,5
3,28,2
5,28,2
10,29,5
1,29,3
8,29,5
3,30,1
9,30,1
2,30,5
4,30,4
10,30,2
10,31,1
2,31,4
9,31,3
5,31,2
6,31,2
7,32,2
5,32,4
6,32,1
1,32,4
10,33,1
2,33,5
4,33,5
5,33,2
6,33,1
6,34,3
3,34,4
9,34,3
9,35,1
5,35,1
3,35,3
2,35,1
10,35,2
6,36,2
5,36,5
8,36,3
1,36,1
7,36,3
1,37,3
3,37,3
8,37,5
7,38,5
1,38,1
2,38,2
9,38,1
6,38,5
3,39,4
1,39,3
6,39,1
4,39,2
2,39,3
7,40,5
3,40,2
1,40,2
6,40,4
4,40,3
2,41,4
1,41,4
4,41,2
